,Index,filename,title,full-date,start-date,mid-date,end-date,circa,geography,country,url,image_url,artist,cleaned_artist,second_artist,Nickname,Notes,Attributed to,Attributed to.1,Attributed to.2,Copy of/After,In Style of,Workshop of,Circle of,width,height,area
0,0,0000000.jpeg,Portrait of a Canon (probably Canon Johann Rieper of Brixen),c.1520,,1520,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ASLAMIG_10312597227;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/aslam/d0001/st_louis_101915.jpg,"Marx Reichlich, Austrian, active c.1485-1520",Marx Reichlich,,,,,,,,,,,146,196,28616
1,1,0000001.jpeg,Portrait of a Woman holding a Lily-of-the-Valley and a Pansy,1510-1520,1510,1515,1520,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ACOURTAULDIG_10313599047;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/acourtauld/d0001/courtauld_p.1947.lf.248_as_8b_srgb.jpg,Marx Reichlich (act. 1494),Marx Reichlich,,,,,,,,,,,149,196,29204
2,2,0000002.jpeg,Portrait of Maia Welzer von Eberstein,1523,,1523,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000676252;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3877/41822000676252.jpg,"Maler, Hans, 1500-1529",Hans Maler,,,,,,,,,,,165,200,33000
3,3,0000003.jpeg,"Portrait of Moritz, Welzer von Eberstein",1523,,1523,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000676237;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3877/41822000676237.jpg,"Maler, Hans, 1500-1529",Hans Maler,,,,,,,,,,,164,200,32800
4,4,0000004.jpeg,Portrait of a Military Gentleman.,16th century.,1500,1550,1599,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/NGA_REALI_1039652926;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/nga/reali/reali_0511703562_post_as.jpg,"Seisenegger, Jakob 1505-1567.",Jakob Seisenegger,,,,,,,,,,,149,196,29204
5,5,0000007.jpeg,Self-Portrait,1733-36,1733,1734.5,1736,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000676161;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3876/41822000676161.jpg,"Kupezky, Jan, 1667-1740",Jan Kupezky,,,,,,,,,,,161,200,32200
6,6,0000009.jpeg,Portrait of Count G.A. con Cotter,c.1730,,1730,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARTSTOR_103_41822000676146;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/ucsd/d3876/41822000676146.jpg,"Kupezky, Jan, 1667-1740",Jan Kupezky,,,,,,,,,,,140,200,28000
7,7,0000011.jpeg,"Portrait of Francis I, Emperor of the Holy German Empire, King of bohemia and Hungary, dressed in the Order of the Golden Fleece",1745,,1745,,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARMNIG_10313470114;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/armn/d0001/rmn_art149165_as_8b_srgb.jpg,Attributed to Anton von Maron,Unsure,,,,Anton von Maron,,,,,,,135,196,26460
8,8,0000012.jpeg,"Portrait of Joseph II, Emperor of Austria (1741-1790), wearing the Order of the Golden Fleece",18th century,1700,1750,1799,,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARMNIG_10313470827;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/armn/d0001/rmn_art158213_as_8b_srgb.jpg,Attributed to Anton von Maron,Unsure,,,,Anton von Maron,,,,,,,136,196,26656
9,9,0000014.jpeg,Portrait of a Gentleman,ca. 1815,,1815,,yes,Europe,Austria,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AROLLINSIG_10310802975;prevRouteTS=1568655092099,https://mdxdv.artstor.org/thumb/imgstor/size1/rollins/d0001/rollins_1974.47.p_8b_srgb.jpg,Johann Daniel Donath (1744 - 1830),Johann Daniel Donath,,,,,,,,,,,157,196,30772
